[0.001] [INFO ] [Game] (Game.cpp:37 in initialize) Logger online
[0.265] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.266] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.268] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.268] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.268] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.268] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.268] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.269] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.270] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.270] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.271] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.271] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.271] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.271] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.272] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.272] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.272] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.272] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.272] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.272] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.273] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.273] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.273] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.273] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.273] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.274] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.274] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.275] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.275] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.275] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.275] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.275] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.275] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.276] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.276] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
